dataset,horizon_hours,method,method_role,seed,curtailment_mae,curtailment_rmse,event_recall,event_precision,event_f1,onset_f1,onset_precision,onset_recall,onset_mae,cessation_f1,detection_threshold,n_onsets_test,stress_subset_mae,n_test,n_events,runtime_s,source_status
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,0,0.00759918,0.02481481,0.598684,0.842593,0.700000,0.193684,0.110048,0.807018,0.04601439,0.009704,0.005159,57,0.02186612,2628,152,3.9504,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,1,0.00773897,0.02534621,0.585526,0.801802,0.676806,0.179104,0.101942,0.736842,0.04780885,0.010559,0.006872,57,0.02230894,2628,152,3.9665,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,2,0.00730398,0.02447983,0.578947,0.807339,0.674330,0.182609,0.104218,0.736842,0.04689160,0.008764,0.005536,57,0.02103927,2628,152,3.9517,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,3,0.00752985,0.02409535,0.625000,0.818966,0.708955,0.195021,0.110588,0.824561,0.04476459,0.011504,0.004987,57,0.02170205,2628,152,3.9499,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,4,0.00745708,0.02479252,0.578947,0.830189,0.682171,0.184397,0.106557,0.684211,0.04617555,0.018111,0.013233,57,0.02148982,2628,152,3.9106,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,5,0.00756124,0.02526010,0.559211,0.817308,0.664062,0.187654,0.109195,0.666667,0.04569728,0.017972,0.013302,57,0.02181161,2628,152,3.9549,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,6,0.00817458,0.02690529,0.539474,0.845361,0.658635,0.180645,0.102941,0.736842,0.04749395,0.008783,0.005520,57,0.02355502,2628,152,3.9068,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,7,0.00789445,0.02590944,0.565789,0.803738,0.664093,0.184154,0.104878,0.754386,0.04832980,0.009670,0.006095,57,0.02274504,2628,152,3.9484,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,8,0.00754390,0.02473166,0.578947,0.814815,0.676923,0.192719,0.109756,0.789474,0.04720398,0.009670,0.005546,57,0.02172941,2628,152,3.9375,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-LSTMEncoder,ablation,9,0.00746384,0.02470689,0.611842,0.815789,0.699248,0.174098,0.099034,0.719298,0.04744216,0.010568,0.005546,57,0.02147269,2628,152,3.9110,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,0,0.00761167,0.02540840,0.546053,0.855670,0.666667,0.177590,0.100962,0.736842,0.04749488,0.004407,0.005557,57,0.02197796,2628,152,6.9182,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,1,0.00778456,0.02566068,0.559211,0.794393,0.656371,0.185263,0.105263,0.771930,0.04722849,0.003529,0.005522,57,0.02245564,2628,152,6.9584,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,2,0.00749451,0.02498204,0.559211,0.801887,0.658915,0.191176,0.111111,0.684211,0.04692559,0.011997,0.016713,57,0.02162529,2628,152,7.0021,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,3,0.00709936,0.02414644,0.572368,0.820755,0.674419,0.182203,0.103614,0.754386,0.04594387,0.007930,0.005520,57,0.02047684,2628,152,7.0122,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,4,0.00742888,0.02473678,0.559211,0.787037,0.653846,0.184486,0.104762,0.771930,0.04765483,0.007064,0.005520,57,0.02140725,2628,152,6.9056,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,5,0.00773977,0.02538602,0.552632,0.792453,0.651163,0.178649,0.101990,0.719298,0.04904321,0.005256,0.006851,57,0.02231853,2628,152,6.6385,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,6,0.00740881,0.02439552,0.559211,0.794393,0.656371,0.186047,0.105769,0.771930,0.04737856,0.005289,0.004987,57,0.02135548,2628,152,6.5257,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,7,0.00759639,0.02547267,0.572368,0.798165,0.666667,0.192593,0.112069,0.684211,0.04786987,0.014549,0.017229,57,0.02190499,2628,152,6.5948,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,8,0.00729325,0.02442530,0.552632,0.785047,0.648649,0.179104,0.104348,0.631579,0.04624170,0.017094,0.016519,57,0.02104406,2628,152,6.5922,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,Ablation-NoTopology,ablation,9,0.00761451,0.02534926,0.565789,0.796296,0.661538,0.188862,0.109551,0.684211,0.04857361,0.013740,0.016716,57,0.02194952,2628,152,6.5350,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,0,0.02061682,0.05062326,0.013333,0.100000,0.023529,0.196721,0.151899,0.279070,0.11091806,0.060484,0.035661,172,0.04662890,2628,150,6.5325,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,1,0.02053713,0.05072221,0.026667,0.222222,0.047619,0.162839,0.127036,0.226744,0.11155451,0.065890,0.035127,172,0.04640339,2628,150,6.5577,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,2,0.02071539,0.05082674,0.006667,0.062500,0.012048,0.174636,0.135922,0.244186,0.11073515,0.065139,0.036343,172,0.04649405,2628,150,6.5719,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,3,0.02004612,0.05030482,0.033333,0.227273,0.058140,0.196162,0.154882,0.267442,0.10919448,0.066427,0.035494,172,0.04512390,2628,150,6.5330,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,4,0.02073615,0.05126497,0.013333,0.100000,0.023529,0.175510,0.135220,0.250000,0.11218971,0.066990,0.035521,172,0.04650350,2628,150,6.5559,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,5,0.02057914,0.05068571,0.013333,0.133333,0.024242,0.165289,0.128205,0.232558,0.11085282,0.065217,0.035475,172,0.04637923,2628,150,6.5870,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,6,0.02026077,0.05057433,0.046667,0.368421,0.082840,0.153518,0.121212,0.209302,0.11102923,0.072829,0.034912,172,0.04557244,2628,150,6.4935,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,7,0.02096477,0.05098717,0.006667,0.058824,0.011976,0.163599,0.126183,0.232558,0.11155171,0.062929,0.034705,172,0.04704780,2628,150,6.5923,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,8,0.02051684,0.05052411,0.020000,0.136364,0.034884,0.189922,0.142442,0.284884,0.10965590,0.064437,0.030312,172,0.04634453,2628,150,6.5121,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DSTAR-GRU,proposed,9,0.02045499,0.05043779,0.013333,0.125000,0.024096,0.189691,0.146965,0.267442,0.11053713,0.066049,0.034417,172,0.04606031,2628,150,6.5903,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Persistence,baseline,0,0.02035887,0.05934114,0.340000,0.340000,0.340000,0.122857,0.065449,1.000000,0.13228327,0.000000,0.000000,172,0.04886620,2628,150,0.0005,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Seasonal-24h,baseline,0,0.02035887,0.05934114,0.340000,0.340000,0.340000,0.122857,0.065449,1.000000,0.13228327,0.000000,0.000000,172,0.04886620,2628,150,0.0004,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ridge,baseline,0,0.02427802,0.05112815,0.013333,0.222222,0.025157,0.235602,0.152027,0.523256,0.10648650,0.059891,0.025158,172,0.04949261,2628,150,0.0669,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,0,0.02625181,0.05156129,0.140000,0.333333,0.197183,0.246429,0.177835,0.401163,0.10427974,0.080565,0.041354,172,0.04933571,2628,150,0.2774,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,1,0.02390996,0.04879342,0.100000,0.555556,0.169492,0.201646,0.156051,0.284884,0.10359520,0.071716,0.044690,172,0.04631762,2628,150,0.2737,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,2,0.02797356,0.05256000,0.140000,0.323077,0.195349,0.209622,0.148780,0.354651,0.09922119,0.072087,0.049965,172,0.04954387,2628,150,0.2827,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,3,0.02617237,0.05051272,0.113333,0.459459,0.181818,0.223062,0.165266,0.343023,0.10294342,0.064781,0.046386,172,0.04921695,2628,150,0.2681,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,4,0.02386177,0.04898788,0.080000,0.500000,0.137931,0.206235,0.175510,0.250000,0.10500915,0.085457,0.049593,172,0.04598280,2628,150,0.2683,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,5,0.02906631,0.05038184,0.180000,0.490909,0.263415,0.236439,0.155393,0.494186,0.09218619,0.056914,0.044732,172,0.04861495,2628,150,0.2685,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,6,0.02509269,0.04973543,0.060000,0.450000,0.105882,0.207506,0.167260,0.273256,0.10086765,0.081909,0.048903,172,0.04707975,2628,150,0.2692,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,7,0.03203369,0.05427741,0.120000,0.300000,0.171429,0.177905,0.118095,0.360465,0.10080787,0.058124,0.046999,172,0.05278438,2628,150,0.2728,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,8,0.02520232,0.05044097,0.033333,0.384615,0.061350,0.187050,0.159184,0.226744,0.10469857,0.087025,0.052289,172,0.04841973,2628,150,0.2617,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,MLP,baseline,9,0.02685361,0.05436284,0.140000,0.304348,0.191781,0.167832,0.140078,0.209302,0.10905759,0.078771,0.055205,172,0.05129501,2628,150,0.2623,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,0,0.02251117,0.04819221,0.000000,0.000000,0.000000,0.205734,0.144893,0.354651,0.11000069,0.046316,0.027173,172,0.04660561,2628,150,3.0712,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,1,0.02091507,0.04804102,0.073333,0.423077,0.125000,0.223338,0.142400,0.517442,0.10472741,0.027637,0.020473,172,0.04382012,2628,150,2.9279,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,2,0.02285808,0.04924486,0.000000,0.000000,0.000000,0.202247,0.133333,0.418605,0.10797003,0.038121,0.025867,172,0.04636728,2628,150,2.9568,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,3,0.02058787,0.04875000,0.000000,0.000000,0.000000,0.214689,0.141791,0.441860,0.11538898,0.039823,0.018545,172,0.04528738,2628,150,3.0284,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,4,0.02088352,0.04748221,0.000000,0.000000,0.000000,0.205270,0.134791,0.430233,0.11130950,0.009791,0.021394,172,0.04556504,2628,150,2.9830,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,5,0.02207393,0.04798399,0.000000,0.000000,0.000000,0.200565,0.132463,0.412791,0.11013571,0.030088,0.023018,172,0.04620288,2628,150,2.9704,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,6,0.02233122,0.04892316,0.000000,0.000000,0.000000,0.203262,0.129600,0.470930,0.10811701,0.027637,0.023024,172,0.04595436,2628,150,2.9396,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,7,0.02185743,0.04929323,0.000000,0.000000,0.000000,0.229885,0.147300,0.523256,0.11092484,0.053089,0.018674,172,0.04632856,2628,150,2.9623,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,8,0.02235195,0.04908090,0.033333,0.357143,0.060976,0.219331,0.161202,0.343023,0.10431336,0.070782,0.032635,172,0.04513003,2628,150,2.9357,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,LSTM,baseline,9,0.02324928,0.04888802,0.000000,0.000000,0.000000,0.203636,0.148148,0.325581,0.10731876,0.057899,0.032797,172,0.04706472,2628,150,2.9140,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,0,0.02937540,0.05294591,0.046667,0.500000,0.085366,0.211966,0.150121,0.360465,0.09742191,0.079731,0.052680,172,0.05029685,2628,150,0.3479,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,1,0.02620422,0.05206457,0.000000,0.000000,0.000000,0.094444,0.090426,0.098837,0.10600070,0.098160,0.058147,172,0.04744626,2628,150,0.3456,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,2,0.03144764,0.05440543,0.000000,0.000000,0.000000,0.147368,0.134615,0.162791,0.10289080,0.103555,0.064076,172,0.05395956,2628,150,0.3416,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,3,0.02921663,0.05175591,0.106667,0.500000,0.175824,0.219931,0.156098,0.372093,0.09382197,0.070411,0.057589,172,0.05134096,2628,150,0.3432,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,4,0.03056265,0.05273224,0.046667,0.250000,0.078652,0.174224,0.109610,0.424419,0.09840233,0.068545,0.041952,172,0.05178898,2628,150,0.3512,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,5,0.02861055,0.05164619,0.013333,0.333333,0.025641,0.179153,0.124434,0.319767,0.10081603,0.075616,0.044671,172,0.05053704,2628,150,0.3473,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,6,0.02526436,0.05127997,0.006667,0.333333,0.013072,0.098160,0.103896,0.093023,0.11043019,0.098410,0.054247,172,0.04886326,2628,150,0.3354,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,7,0.02807169,0.05009225,0.033333,0.625000,0.063291,0.183908,0.152091,0.232558,0.09625129,0.080537,0.061986,172,0.04895679,2628,150,0.3388,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,8,0.02847992,0.05264568,0.000000,0.000000,0.000000,0.181087,0.138462,0.261628,0.10392046,0.092270,0.050341,172,0.05068296,2628,150,0.3429,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,DLinear,baseline,9,0.02504294,0.05015758,0.000000,0.000000,0.000000,0.159601,0.139738,0.186047,0.10321561,0.091936,0.052297,172,0.04736941,2628,150,0.3320,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,0,0.02057648,0.05195384,0.020000,0.300000,0.037500,0.177515,0.134328,0.261628,0.11707204,0.082893,0.023034,172,0.04563095,2628,150,2.5419,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,1,0.02556094,0.04810042,0.000000,0.000000,0.000000,0.218487,0.137670,0.529070,0.10320038,0.023419,0.027064,172,0.04754878,2628,150,2.5580,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,2,0.02207914,0.04811281,0.000000,0.000000,0.000000,0.211429,0.140152,0.430233,0.10851611,0.039683,0.023764,172,0.04608306,2628,150,2.5840,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,3,0.02470370,0.04814531,0.020000,0.500000,0.038462,0.206897,0.137405,0.418605,0.10268753,0.032570,0.031732,172,0.04729657,2628,150,2.5330,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,4,0.02383772,0.04956601,0.000000,0.000000,0.000000,0.197015,0.132530,0.383721,0.10974936,0.047868,0.025340,172,0.04726266,2628,150,2.5360,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,5,0.01984619,0.05009670,0.000000,0.000000,0.000000,0.185759,0.126582,0.348837,0.11675105,0.062016,0.018233,172,0.04512008,2628,150,2.5488,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,6,0.02115170,0.05064954,0.033333,0.250000,0.058824,0.161435,0.131387,0.209302,0.11123345,0.077716,0.039458,172,0.04487734,2628,150,2.6313,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,7,0.01825034,0.05078988,0.013333,0.666667,0.026144,0.122931,0.103586,0.151163,0.12088102,0.077800,0.020936,172,0.04386359,2628,150,2.5767,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,8,0.02320607,0.04994802,0.000000,0.000000,0.000000,0.226067,0.141007,0.569767,0.11007578,0.030462,0.017731,172,0.04644624,2628,150,2.5616,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,TCN,baseline,9,0.02277369,0.05191035,0.033333,0.200000,0.057143,0.120690,0.119318,0.122093,0.11208679,0.093893,0.055107,172,0.04649858,2628,150,2.5627,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,kNN-RawFeature,baseline,0,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.226415,0.160584,0.383721,0.10675782,0.071279,0.027207,172,0.04350381,2628,150,6.6696,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,0,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2381,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,1,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2641,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,2,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2338,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,3,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2221,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,4,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.1943,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,5,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2093,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,6,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2877,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,7,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2041,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,8,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2313,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoSiamese,ablation,9,0.01946336,0.04926120,0.073333,0.647059,0.131737,0.224913,0.160099,0.377907,0.10675782,0.071130,0.027438,172,0.04350381,2628,150,11.2200,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,0,0.02230350,0.04735711,0.000000,0.000000,0.000000,0.196429,0.132000,0.383721,0.10791899,0.031359,0.026701,172,0.04610637,2628,150,5.6294,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,1,0.02158803,0.04815676,0.000000,0.000000,0.000000,0.227882,0.148084,0.494186,0.11081515,0.041404,0.021169,172,0.04623125,2628,150,5.6669,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,2,0.02116099,0.04911295,0.000000,0.000000,0.000000,0.221289,0.145756,0.459302,0.11198850,0.041704,0.020603,172,0.04591356,2628,150,5.6380,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,3,0.02481868,0.04881868,0.000000,0.000000,0.000000,0.197772,0.130037,0.412791,0.10393154,0.024889,0.030627,172,0.04800055,2628,150,5.6322,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,4,0.02152359,0.04880054,0.000000,0.000000,0.000000,0.198693,0.128162,0.441860,0.10991179,0.029959,0.023029,172,0.04591701,2628,150,5.5879,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,5,0.02183089,0.04855648,0.000000,0.000000,0.000000,0.209639,0.132219,0.505814,0.10912141,0.023386,0.020948,172,0.04584344,2628,150,5.6263,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,6,0.02167734,0.04808003,0.000000,0.000000,0.000000,0.203785,0.135922,0.406977,0.11006260,0.036826,0.025317,172,0.04582052,2628,150,5.6384,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,7,0.02113731,0.04829224,0.000000,0.000000,0.000000,0.196802,0.124805,0.465116,0.11172924,0.015777,0.019540,172,0.04551364,2628,150,5.6476,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,8,0.02208411,0.04871646,0.000000,0.000000,0.000000,0.209719,0.134426,0.476744,0.11036069,0.025618,0.021184,172,0.04595853,2628,150,5.6719,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-NoRetrievalBank,ablation,9,0.02140287,0.04914312,0.000000,0.000000,0.000000,0.207715,0.139442,0.406977,0.11235730,0.039233,0.022991,172,0.04608792,2628,150,5.6020,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,0,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.6303,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),24,Ablation-SmallBank,ablation,1,0.01534389,0.05431868,0.000000,0.000000,0.000000,0.122857,0.065449,1.000000,0.13239732,0.000000,0.000000,172,0.04431182,2628,150,5.6998,public_rts_curtailment_v6_modern_temporal_controls
