dataset,horizon_hours,method,method_role,seed,curtailment_mae,curtailment_rmse,event_recall,event_precision,event_f1,onset_f1,onset_precision,onset_recall,onset_mae,cessation_f1,detection_threshold,n_onsets_test,stress_subset_mae,n_test,n_events,runtime_s,source_status
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,MLP,baseline,8,0.01205358,0.03073269,0.401316,0.859155,0.547085,0.149871,0.087879,0.508772,0.04962025,0.024628,0.022487,57,0.02842368,2628,152,0.2652,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,MLP,baseline,9,0.01537538,0.03325379,0.368421,0.835821,0.511416,0.112360,0.066890,0.350877,0.05535046,0.025985,0.027471,57,0.03178487,2628,152,0.2705,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,0,0.00961896,0.02339471,0.651316,0.868421,0.744361,0.180698,0.102326,0.771930,0.04480301,0.005322,0.020966,57,0.02413784,2628,152,2.9648,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,1,0.00948339,0.02330767,0.651316,0.853448,0.738806,0.167689,0.094907,0.719298,0.04438990,0.005326,0.022976,57,0.02455509,2628,152,2.9833,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,2,0.01024295,0.02456299,0.585526,0.847619,0.692607,0.169118,0.094456,0.807018,0.04336916,0.000000,0.019766,57,0.02642224,2628,152,2.9760,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,3,0.00970678,0.02330203,0.690789,0.813953,0.747331,0.182195,0.103286,0.771930,0.04269889,0.003541,0.024369,57,0.02484025,2628,152,2.9503,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,4,0.01033425,0.02466636,0.625000,0.811966,0.706320,0.168033,0.095128,0.719298,0.04074662,0.004437,0.030008,57,0.02733935,2628,152,2.9871,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,5,0.00987229,0.02368851,0.664474,0.855932,0.748148,0.171190,0.097156,0.719298,0.04329548,0.007070,0.026508,57,0.02587142,2628,152,2.9436,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,6,0.00937431,0.02283071,0.703947,0.849206,0.769784,0.175732,0.099762,0.736842,0.04246122,0.003534,0.023857,57,0.02424033,2628,152,2.9663,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,7,0.00883715,0.02407324,0.513158,0.896552,0.652720,0.175238,0.098291,0.807018,0.04977928,0.004511,0.011063,57,0.02334781,2628,152,2.9447,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,8,0.01025575,0.02528264,0.592105,0.865385,0.703125,0.165289,0.093677,0.701754,0.04290598,0.000886,0.027306,57,0.02721259,2628,152,2.9570,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,LSTM,baseline,9,0.00890236,0.02234272,0.651316,0.853448,0.738806,0.179959,0.101852,0.771930,0.04345585,0.007102,0.019512,57,0.02235541,2628,152,2.9168,public_rts_curtailment_v6_modern_temporal_controls
RTS-GMLC day-ahead (fixed reference dispatch curtailment),1,DLinear,baseline,0,0.02233547,0.04058039,0.315789,0.960000,0.475248,0.145594,0.081720,0.666667,0.03567915,0.013514,0.050614,57,0.05033763,2628,152,0.3506,public_rts_curtailment_v6_modern_temporal_controls
