backbone,condition,question_id,automatic_primary_eligible,order_hold,snapshot_agreement,semantic_state_n,physical_diagnostic_state_n,suite_15state_and,strict_suite_15state_and,order_hold_all18_diagnostic,execution_error_any
granite,F00_Full_NoShape,Q021,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q022,True,False,True,15,3,True,True,,False
granite,F00_Full_NoShape,Q023,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q024,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q025,False,True,True,15,3,,,True,False
granite,F00_Full_NoShape,Q026,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q027,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q028,True,False,True,15,3,False,False,,False
granite,F00_Full_NoShape,Q029,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q030,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q031,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q032,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q033,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q034,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q035,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q036,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q037,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q038,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q039,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q040,False,True,True,15,3,,,False,False
granite,F00_Full_NoShape,Q041,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q042,False,True,True,15,3,,,True,False
granite,F00_Full_NoShape,Q043,False,True,False,15,3,,,False,True
granite,F00_Full_NoShape,Q044,True,False,True,15,3,True,True,,False
granite,F00_Full_NoShape,Q045,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q046,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q047,False,True,True,15,3,,,True,False
granite,F00_Full_NoShape,Q048,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q049,True,False,False,15,3,False,False,,True
granite,F00_Full_NoShape,Q050,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q051,False,True,True,15,3,,,True,False
granite,F00_Full_NoShape,Q052,False,True,False,15,3,,,False,False
granite,F00_Full_NoShape,Q053,False,True,False,15,3,,,False,True
granite,F00_Full_NoShape,Q054,False,True,True,15,3,,,True,False
