condition,n,execution_correct,execution_accuracy,shape_correct,shape_accuracy
F00_Full_NoShape,180,76,0.4222222222222222,90,0.5
F01_Full_WithShape,180,129,0.7166666666666667,174,0.9666666666666667
F10_Compact_NoShape,180,78,0.43333333333333335,79,0.4388888888888889
F11_Compact_WithShape,180,108,0.6,173,0.9611111111111111
