paper,experiment_id,comparison,opponent,opponent_role,inference_status,n_proposed,n_opponent_effective,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,rank_biserial,mean_diff_ci_low,mean_diff_ci_high,p_raw,p_holm_stochastic_family,significant_005_holm,p_holm_across_scenarios,significant_005_cross_scenario
p3,base_distribution_planning,CARS-MODE vs Ablation-FixedDE,Ablation-FixedDE,ablation,inferential_stochastic,30,30,0.04107907566666666,0.04137960566666667,-0.0003005300000000141,-0.7262756499444079,-0.1333333333333333,-0.0009368607416666633,0.00032374962500001005,0.37903631077393585,0.7580726215478717,False,1.0,False
p3,constraint_repair,CARS-MODE vs Ablation-FixedDE,Ablation-FixedDE,ablation,inferential_stochastic,30,30,0.03924602733333334,0.039347187,-0.00010115966666665588,-0.2570950412964845,-0.05777777777777782,-0.0005673341833333332,0.0003743000666666707,0.7061714882812296,0.7061714882812296,False,1.0,False
p3,der_siting_sizing,CARS-MODE vs Ablation-FixedDE,Ablation-FixedDE,ablation,inferential_stochastic,30,30,0.044956497333333324,0.04520075266666666,-0.0002442553333333389,-0.5403789072597975,-0.09333333333333338,-0.000780884975,0.0002688625083333427,0.5395103167994048,0.5395103167994048,False,1.0,False
p3,load_growth_expansion,CARS-MODE vs Ablation-FixedDE,Ablation-FixedDE,ablation,inferential_stochastic,30,30,0.03699517833333333,0.03722969333333333,-0.00023451499999999764,-0.6299138644529911,-0.10444444444444445,-0.0007860931916666599,0.0003358886750000024,0.491782956953405,0.491782956953405,False,1.0,False
p3,pareto_quality,CARS-MODE vs Ablation-FixedDE,Ablation-FixedDE,ablation,inferential_stochastic,30,30,0.040616149,0.040810476,-0.00019432700000000108,-0.47616940316991263,-0.11111111111111116,-0.0007866311416666655,0.00039002302499999017,0.46427291062161524,0.46427291062161524,False,1.0,False
p3,runtime_scalability,CARS-MODE vs Ablation-FixedDE,Ablation-FixedDE,ablation,inferential_stochastic,30,30,0.048734638,0.048988367,-0.00025372900000000115,-0.5179372482450817,-0.17555555555555558,-0.0007012907749999932,0.000198131783333332,0.24581380245894136,0.24581380245894136,False,1.0,False
p3,storage_allocation,CARS-MODE vs Ablation-FixedDE,Ablation-FixedDE,ablation,inferential_stochastic,30,30,0.043620912666666664,0.044075876333333326,-0.00045496366666666205,-1.032228294738602,-0.18666666666666665,-0.001048866375000014,0.00012477498333332869,0.2170168245486217,0.2170168245486217,False,1.0,False
p3,base_distribution_planning,CARS-MODE vs Ablation-NoDiversity,Ablation-NoDiversity,ablation,inferential_stochastic,30,30,0.04107907566666666,0.026562005333333336,0.014517070333333323,54.65351787696346,1.0,0.011357780016666664,0.018117661466666674,3.016075319890922e-11,2.913694207049005e-10,True,2.100687665286058e-10,True
p3,constraint_repair,CARS-MODE vs Ablation-NoDiversity,Ablation-NoDiversity,ablation,inferential_stochastic,30,30,0.03924602733333334,0.028635559,0.010610468333333341,37.05347024422796,0.9866666666666666,0.007865904766666662,0.01391935779166667,5.490698716073634e-11,4.392558972858907e-10,True,2.100687665286058e-10,True
p3,der_siting_sizing,CARS-MODE vs Ablation-NoDiversity,Ablation-NoDiversity,ablation,inferential_stochastic,30,30,0.044956497333333324,0.02941608466666666,0.015540412666666663,52.82964351906612,0.9933333333333334,0.011697796900000007,0.02000678453333334,4.0645695994842393e-11,3.2516556795873915e-10,True,2.100687665286058e-10,True
