paper,experiment_id,comparison,opponent,opponent_role,inference_status,n_proposed,n_opponent_effective,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,rank_biserial,mean_diff_ci_low,mean_diff_ci_high,p_raw,p_holm_stochastic_family,significant_005_holm
p6,budget_constrained_selection,BiLo-NSGA vs AHP-TOPSIS,AHP-TOPSIS,baseline,descriptive_deterministic_n1,30,1,0.16433545033333333,0.13637212999999995,0.027963320333333375,20.505157713187728,,,,,,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-LegacyDeletion,Ablation-LegacyDeletion,ablation,inferential_stochastic,30,30,0.16433545033333333,0.16409891,0.00023654033333334046,0.1441449753281976,0.01777777777777767,-0.004152009450000031,0.004587995600000017,0.9117089753194283,1.0,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-LooseBudget,Ablation-LooseBudget,ablation,inferential_stochastic,30,30,0.16433545033333333,0.14854217666666666,0.015793273666666663,10.632181391893347,0.6822222222222223,0.010112710474999943,0.02166747969166667,5.858675152587995e-06,5.858675152587995e-05,True
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-LowDependencyDensity,Ablation-LowDependencyDensity,ablation,inferential_stochastic,30,30,0.16433545033333333,0.164720475,-0.0003850246666666779,-0.23374426686584293,0.022222222222222143,-0.004238506091666664,0.0033944509833333464,0.8883028421533887,1.0,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoBackwardSearch,Ablation-NoBackwardSearch,ablation,inferential_stochastic,30,30,0.16433545033333333,0.16983220933333332,-0.00549675899999999,-3.2365821663494887,-0.37555555555555553,-0.009059843233333373,-0.0019387984583332984,0.012732114616306573,0.10185691693045258,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoDependencyMoves,Ablation-NoDependencyMoves,ablation,inferential_stochastic,30,30,0.16433545033333333,0.1636906446666667,0.0006448056666666369,0.39391723820239033,-0.004444444444444473,-0.00397486942499998,0.0054027331500000175,0.9823070530800847,1.0,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,Ablation-NoFeasibilityRecovery,ablation,inferential_stochastic,30,30,0.16433545033333333,0.15582096733333334,0.00851448299999999,5.464272970264483,0.4555555555555555,0.0036110721416666514,0.013234077808333255,0.0024993923272276816,0.022494530945049135,True
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-NoForwardSearch,Ablation-NoForwardSearch,ablation,inferential_stochastic,30,30,0.16433545033333333,0.1679743333333333,-0.0036388829999999817,-2.1663327532182364,-0.11333333333333329,-0.00745051735833332,1.7139766666708156e-05,0.4552969069031376,1.0,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-RandomMutationOnly,Ablation-RandomMutationOnly,ablation,inferential_stochastic,30,30,0.16433545033333333,0.1653076966666667,-0.0009722463333333708,-0.588143415544562,0.020000000000000018,-0.004872542691666636,0.0032527187749999665,0.8999950372363642,1.0,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-ShallowLocalSearch,Ablation-ShallowLocalSearch,ablation,inferential_stochastic,30,30,0.16433545033333333,0.16576709600000003,-0.0014316456666667032,-0.863648879188128,-0.06666666666666665,-0.005180433933333298,0.0023662693499999716,0.662734758176107,1.0,False
p6,budget_constrained_selection,BiLo-NSGA vs Ablation-WeightedRankingOnly,Ablation-WeightedRankingOnly,ablation,descriptive_deterministic_n1,30,1,0.16433545033333333,0.029749420000000006,0.13458603033333333,452.39883780367245,,,,,,False
p6,budget_constrained_selection,BiLo-NSGA vs Greedy BCR,Greedy BCR,baseline,descriptive_deterministic_n1,30,1,0.16433545033333333,0.03910305000000001,0.12523240033333333,320.2624867710659,,,,,,False
p6,budget_constrained_selection,BiLo-NSGA vs MOEA/D,MOEA/D,baseline,inferential_stochastic,30,30,0.16433545033333333,0.029367004,0.13496844633333333,459.5921542876261,1.0,0.13122560461666666,0.13864930207499998,2.2520981173054893e-11,3.152937364227685e-10,True
p6,budget_constrained_selection,BiLo-NSGA vs NSGA-II,NSGA-II,baseline,inferential_stochastic,30,30,0.16433545033333333,0.16084474166666668,0.0034907086666666476,2.1702348677961503,0.2088888888888889,-0.000980783741666652,0.008009914733333371,0.1668661704632597,1.0,False
p6,budget_constrained_selection,BiLo-NSGA vs NSGA-III,NSGA-III,baseline,inferential_stochastic,30,30,0.16433545033333333,0.14774183066666666,0.01659361966666667,11.23149726234609,0.768888888888889,0.01166076157500006,0.021793146024999984,3.2555395233551233e-07,3.5810934756906356e-06,True
p6,budget_constrained_selection,BiLo-NSGA vs Pareto Local Search,Pareto Local Search,baseline,inferential_stochastic,30,30,0.16433545033333333,0.10823547666666665,0.05609997366666668,51.831409990864685,1.0,0.05141664661666668,0.060881107224999974,3.019859359162157e-11,3.9258171669108044e-10,True
p6,budget_constrained_selection,BiLo-NSGA vs Random Feasible,Random Feasible,baseline,inferential_stochastic,30,30,0.16433545033333333,0.061018829,0.10331662133333333,169.31924624992942,1.0,0.09680010165833335,0.10931618789166665,3.019859359162157e-11,3.9258171669108044e-10,True
p6,budget_sensitivity,BiLo-NSGA vs AHP-TOPSIS,AHP-TOPSIS,baseline,descriptive_deterministic_n1,30,1,0.15964733733333333,0.13639333000000006,0.02325400733333327,17.049226185278464,,,,,,False
p6,budget_sensitivity,BiLo-NSGA vs Ablation-LegacyDeletion,Ablation-LegacyDeletion,ablation,inferential_stochastic,30,30,0.15964733733333333,0.15963164199999996,1.569533333337092e-05,0.00983221943764434,0.008888888888888946,-0.004129581024999989,0.0040896875500000375,0.9587314908134437,1.0,False
p6,budget_sensitivity,BiLo-NSGA vs Ablation-LooseBudget,Ablation-LooseBudget,ablation,inferential_stochastic,30,30,0.15964733733333333,0.14669677266666667,0.012950564666666664,8.828118322748457,0.6644444444444444,0.008142023016666692,0.01814488378333331,1.018768935242708e-05,0.00011206458287669788,True
p6,budget_sensitivity,BiLo-NSGA vs Ablation-LowDependencyDensity,Ablation-LowDependencyDensity,ablation,inferential_stochastic,30,30,0.15964733733333333,0.15810931933333333,0.001538018000000002,0.9727560693354675,0.14222222222222225,-0.0027494386083333064,0.005839430599999997,0.3478277829758114,1.0,False
p6,budget_sensitivity,BiLo-NSGA vs Ablation-NoBackwardSearch,Ablation-NoBackwardSearch,ablation,inferential_stochastic,30,30,0.15964733733333333,0.15926148866666662,0.000385848666666716,0.2422736782740298,-0.015555555555555545,-0.004306531991666662,0.005050173950000003,0.9234421319782358,1.0,False
p6,budget_sensitivity,BiLo-NSGA vs Ablation-NoDependencyMoves,Ablation-NoDependencyMoves,ablation,inferential_stochastic,30,30,0.15964733733333333,0.15802050033333334,0.001626836999999992,1.029510093037489,0.0888888888888888,-0.002636477033333332,0.006026426333333367,0.5592305357919067,1.0,False
p6,budget_sensitivity,BiLo-NSGA vs Ablation-NoFeasibilityRecovery,Ablation-NoFeasibilityRecovery,ablation,inferential_stochastic,30,30,0.15964733733333333,0.14853172666666667,0.011115610666666664,7.4836608421123385,0.5844444444444445,0.006310067008333286,0.015746475250000024,0.00010406563331101462,0.0009365906997991316,True
p6,budget_sensitivity,BiLo-NSGA vs Ablation-NoForwardSearch,Ablation-NoForwardSearch,ablation,inferential_stochastic,30,30,0.15964733733333333,0.16258524599999996,-0.0029379086666666276,-1.8069958615227755,-0.15111111111111108,-0.006980820558333302,0.001134621158333351,0.31830422747222764,1.0,False
p6,budget_sensitivity,BiLo-NSGA vs Ablation-RandomMutationOnly,Ablation-RandomMutationOnly,ablation,inferential_stochastic,30,30,0.15964733733333333,0.16054083266666666,-0.0008934953333333273,-0.5565533194838435,-0.05777777777777782,-0.005279659133333302,0.0033780616749999963,0.7061714882812296,1.0,False
