paper_id,year,doi,doi_url,official_pdf_url,local_pdf,local_xml,title,pages,abstract_words,body_words,top_level_sections,body_paragraphs,mean_words_per_paragraph,median_words_per_paragraph,display_formulas,numbered_formulas,figures,tables,references,auto_framework_figures,auto_result_figures,evaluation_datasets,method_framework_diagrams,experimental_result_figures,experimental_result_tables,dataset_note,experimental_evidence_visuals
applsci-13-11074,2023,10.3390/app131911074,https://doi.org/10.3390/app131911074,https://mdpi-res.com/d_attachment/applsci/applsci-13-11074/article_deploy/applsci-13-11074.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-13-11074.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-13-11074.xml,A Combined Semantic Dependency and Lexical Embedding RoBERTa Model for Grid Field Relational Extraction,14,168,4893,5,64,76.5,59.0,24,24,3,7,27,1,0,1,2,0,2,One self-constructed Guangxi grid-domain relation corpus (2316 samples).,2
applsci-13-12690,2023,10.3390/app132312690,https://doi.org/10.3390/app132312690,https://mdpi-res.com/d_attachment/applsci/applsci-13-12690/article_deploy/applsci-13-12690.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-13-12690.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-13-12690.xml,Deep Neural Network-Based Autonomous Voltage Control for Power Distribution Networks with DGs and EVs,17,198,4488,8,81,55.4,36,4,4,16,3,20,2,10,1,2,12,3,"One integrated two-year feeder dataset; real smart-meter load plus PVGIS/SARAH2 irradiance, with PowerFactory labels.",15
applsci-14-06486,2024,10.3390/app14156486,https://doi.org/10.3390/app14156486,https://mdpi-res.com/d_attachment/applsci/applsci-14-06486/article_deploy/applsci-14-06486.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-14-06486.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-14-06486.xml,Multi-Stage Coordinated Planning for Transmission and Energy Storage Considering Large-Scale Renewable Energy Integration,24,188,9182,5,66,139.1,113.0,34,34,7,9,31,2,4,1,2,3,6,One planning case family based on IEEE RTS-24 and regional wind/PV/load histories.,9
applsci-14-10368,2024,10.3390/app142210368,https://doi.org/10.3390/app142210368,https://mdpi-res.com/d_attachment/applsci/applsci-14-10368/article_deploy/applsci-14-10368.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-14-10368.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-14-10368.xml,Emergency Dispatch Strategy Considering Spatiotemporal Evolution of Power Grid Failures Under Typhoon Conditions,17,113,7014,5,59,118.9,88,37,37,6,6,27,2,3,1,1,4,1,One emergency-dispatch case: IEEE 14-bus system under Typhoon Maria observations.,5
applsci-14-11797,2024,10.3390/app142411797,https://doi.org/10.3390/app142411797,https://mdpi-res.com/d_attachment/applsci/applsci-14-11797/article_deploy/applsci-14-11797.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-14-11797.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-14-11797.xml,Optimization of Active Distribution Network Operation with SOP Considering Reverse Power Flow,27,209,9132,6,87,105.0,94,73,73,17,1,30,0,14,1,1,11,0,One case family composed of three modified IEEE 33-bus distribution networks.,11
applsci-15-02435,2025,10.3390/app15052435,https://doi.org/10.3390/app15052435,https://mdpi-res.com/d_attachment/applsci/applsci-15-02435/article_deploy/applsci-15-02435.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-15-02435.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-15-02435.xml,Power Grid Load Forecasting Using a CNN-LSTM Network Based on a Multi-Modal Attention Mechanism,24,279,8694,5,36,241.5,212.0,20,20,9,4,47,1,5,3,4,5,3,"Three public load datasets: Panama, Victoria daily demand/price, and household electric power consumption.",8
applsci-15-04498,2025,10.3390/app15084498,https://doi.org/10.3390/app15084498,https://mdpi-res.com/d_attachment/applsci/applsci-15-04498/article_deploy/applsci-15-04498.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-15-04498.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-15-04498.xml,Stable Variable Fixation for Accelerated Unit Commitment via Graph Neural Network and Linear Programming Hybrid Learning,15,248,4962,5,76,65.3,52.5,23,23,6,4,29,3,0,3,4,2,1,"Three UCP benchmark sets (50, 100, and 1080 units) generated from one year of real demand profiles.",3
applsci-15-07003,2025,10.3390/app15137003,https://doi.org/10.3390/app15137003,https://mdpi-res.com/d_attachment/applsci/applsci-15-07003/article_deploy/applsci-15-07003.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-15-07003.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-15-07003.xml,Short-Term Power Load Forecasting Using an Improved Model Integrating GCN and Transformer,34,267,6064,5,71,85.4,55,14,14,19,7,44,0,16,3,2,17,5,"Three public forecasting datasets: ETTh1, ETTm1, and an Australian electricity-load dataset.",22
applsci-16-00466,2026,10.3390/app16010466,https://doi.org/10.3390/app16010466,https://mdpi-res.com/d_attachment/applsci/applsci-16-00466/article_deploy/applsci-16-00466.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-16-00466.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-16-00466.xml,A Dual-Decomposition Graph-Mamba-Transformer Framework for Ultra-Short-Term Wind Power Forecasting,24,153,7182,4,128,56.1,53.0,28,28,9,3,38,4,5,1,4,5,2,"One real wind-farm SCADA dataset (50,688 ten-minute samples, 2024).",7
applsci-16-04476,2026,10.3390/app16094476,https://doi.org/10.3390/app16094476,https://mdpi-res.com/d_attachment/applsci/applsci-16-04476/article_deploy/applsci-16-04476.pdf,papers/literature/applied_sciences_power_ai_10/pdf/applsci-16-04476.pdf,papers/literature/applied_sciences_power_ai_10/xml/applsci-16-04476.xml,Coordinated Optimization of Wind Farm Control Parameters for Primary Frequency Regulation Based on Fatigue Load Prediction,31,179,11174,7,101,110.6,103,31,31,17,8,35,0,9,1,2,15,5,"One generated DEL evaluation dataset, driven by 2015 measurements from one 48-turbine wind farm and OpenFAST/Simulink simulations.",20
