dataset,horizon_hours,method,method_role,seed,reconciliation,hierarchy_weighted_smape,leaf_smape,region_smape,system_smape,leaf_mae,region_mae,system_mae,coherence_violation,runtime_s,train_samples,test_samples,source_status
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,11,Base,0.28473011,0.40876680,0.27156104,0.17386248,0.50763628,1.03859314,2.68858884,0.04500289,3.8585,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,11,Bottom-Up,0.28540568,0.40876680,0.27229381,0.17515645,0.50763628,1.04017683,2.70668355,0.00000000,3.8585,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,11,Top-Down,0.35831768,0.55843999,0.34265056,0.17386248,0.69762493,1.31177018,2.68858884,0.00000000,3.8585,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,11,OLS-Reconciled,0.28363652,0.40620244,0.27152252,0.17318461,0.50649037,1.03637601,2.68081133,0.00000000,3.8585,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,23,Base,0.29215316,0.41630237,0.27950054,0.18065656,0.51762949,1.06025542,2.76107860,0.04239318,2.6355,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,23,Bottom-Up,0.29251116,0.41630237,0.27989622,0.18133489,0.51762949,1.06454567,2.79482246,0.00000000,2.6355,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,23,Top-Down,0.36485391,0.56466906,0.34923612,0.18065656,0.70547829,1.33210307,2.76107860,0.00000000,2.6355,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,23,OLS-Reconciled,0.29178962,0.41572204,0.27937282,0.18027400,0.51530075,1.05773075,2.75834341,0.00000000,2.6355,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,47,Base,0.29798735,0.42518563,0.28452408,0.18425233,0.52555174,1.07467673,2.80146529,0.03771674,2.5646,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,47,Bottom-Up,0.29907878,0.42518563,0.28577219,0.18627850,0.52555174,1.08196965,2.85781888,0.00000000,2.5646,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,47,Top-Down,0.36844137,0.56777747,0.35329431,0.18425233,0.70944207,1.34424550,2.80146529,0.00000000,2.5646,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,47,OLS-Reconciled,0.29726532,0.42335333,0.28440020,0.18404244,0.52189263,1.07173975,2.80188683,0.00000000,2.5646,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,Base,0.28407672,0.40845424,0.27034031,0.17343560,0.50343293,1.03603824,2.68050852,0.04503369,2.6690,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,Bottom-Up,0.28499840,0.40845424,0.27084516,0.17569579,0.50343293,1.03272452,2.69610197,0.00000000,2.6690,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,Top-Down,0.35672331,0.55571248,0.34102185,0.17343560,0.69408147,1.30535815,2.68050852,0.00000000,2.6690,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,59,OLS-Reconciled,0.28268177,0.40543191,0.26983203,0.17278136,0.50424112,1.03288529,2.67183343,0.00000000,2.6690,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,Base,0.29206243,0.41664441,0.27901851,0.18052438,0.52120626,1.06376857,2.77887003,0.04407126,2.5804,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,Bottom-Up,0.29353571,0.41664441,0.28076735,0.18319537,0.52120626,1.07622994,2.85521696,0.00000000,2.5804,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,Top-Down,0.36512795,0.56533565,0.34952382,0.18052438,0.70775641,1.33705012,2.77887003,0.00000000,2.5804,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,71,OLS-Reconciled,0.29109537,0.41446765,0.27867556,0.18014290,0.51640644,1.06051039,2.77773564,0.00000000,2.5804,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,Base,0.29374804,0.42022622,0.28039247,0.18062543,0.52140338,1.06405723,2.76398127,0.04539395,2.5559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,Bottom-Up,0.29439670,0.42022622,0.28092322,0.18204067,0.52140338,1.07050535,2.81778644,0.00000000,2.5559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,Top-Down,0.36502675,0.56497453,0.34948028,0.18062543,0.70618665,1.33389180,2.76398127,0.00000000,2.5559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,83,OLS-Reconciled,0.29264947,0.41794384,0.27990118,0.18010338,0.51739026,1.06009955,2.76132022,0.00000000,2.5559,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
Ausgrid exact 12-leaf/4-region/system hierarchy,24,HyG-LoadFormer (neural),proposed,97,Base,0.28487508,0.40715952,0.27251392,0.17495181,0.50896444,1.04188461,2.70280726,0.04433118,2.5845,51692,133756,public_ausgrid_exact_hierarchy_v8_reconciliation
