comparison,k,mean_delta,seed_std,seed_ci_low,seed_ci_high,paired_t_p,exact_sign_flip_p,hier_ci_low,hier_ci_high,positive_effect_gate
oracle-label_minus_bm25,1,-0.028858706108706,0.004950378799150189,-0.03500541324108197,-0.022711998976330028,0.00019989768011993142,0.0625,-0.04350269871253195,-0.014074891249514792,False
oracle-label_minus_bm25,3,0.006214640420925233,0.0014953817926272033,0.004357878685450628,0.008071402156399838,0.0007460206649941299,0.0625,0.0016913447159275328,0.010948340508400965,True
oracle-label_minus_bm25,5,0.005134628465216717,0.000941556606988391,0.003965531524048342,0.006303725406385093,0.00025961878368990744,0.0625,0.002105010575978916,0.008210249215069175,True
oracle-label_minus_bm25,10,0.0033189621145967687,0.00010074993463681428,0.003193864547936854,0.003444059681256683,2.0353905404542367e-07,0.0625,0.0021875781869881944,0.004458951038089542,True
predicted-label_minus_bm25,1,-0.03061224146224133,0.005051947710621105,-0.03688506305532748,-0.02433941986915518,0.00017173458448275779,0.0625,-0.046464049130574975,-0.015727125197058947,False
predicted-label_minus_bm25,3,0.005614691372152691,0.002127996183836816,0.002972435122367518,0.008256947621937865,0.004129286200949067,0.0625,0.0008130366626776295,0.010717753200991142,True
predicted-label_minus_bm25,5,0.004056910257498514,0.0007382824402123496,0.003140211530980817,0.004973608984016211,0.00025198938900434115,0.0625,0.0012469590788563442,0.007094295609580503,True
predicted-label_minus_bm25,10,0.0033419415328393544,0.00023852301375890372,0.0030457760939118627,0.003638106971766846,6.185758964082981e-06,0.0625,0.0021944372434460646,0.004440059268033373,True
label-blind_minus_bm25,1,-0.03166446368446356,0.002094840750418824,-0.03426555202622877,-0.029063375342698348,4.5708456813854164e-06,0.0625,-0.04555284598364475,-0.017254515851951667,False
label-blind_minus_bm25,3,0.0046431800294648665,0.002061591868285982,0.0020833756276245263,0.007202984431305207,0.007301863452395203,0.0625,-3.859567966401615e-05,0.009239587528624877,False
label-blind_minus_bm25,5,0.004523135774900511,0.0005553840440800561,0.003833535402189493,0.00521273614761153,5.347441850188098e-05,0.0625,0.0014532168585453134,0.007539456481177743,True
label-blind_minus_bm25,10,0.003088077556659574,0.0003006964442733271,0.0027147136074174997,0.0034614415059016487,2.1305958775451132e-05,0.0625,0.001931622950779397,0.004240410541464353,True
oracle-label_minus_predicted-label,1,0.0017535353535353293,0.002158589551336173,-0.0009267075792576127,0.004433778286328271,0.14346344585963697,0.25,-0.00225500301856211,0.00610811506587468,False
oracle-label_minus_predicted-label,3,0.0005999490487725411,0.0014242023843634409,-0.0011684317780475029,0.002368329875592585,0.39955208579485857,0.375,-0.0012068173612163205,0.002281367048996155,False
oracle-label_minus_predicted-label,5,0.0010777182077182034,0.0011850998956409364,-0.0003937776669741854,0.0025492140824105924,0.11177202365601395,0.1875,-0.00018796431869121612,0.002303682777753116,False
oracle-label_minus_predicted-label,10,-2.297941824258576e-05,0.0002370850533711432,-0.0003173593935257522,0.0002714005570405807,0.8390234897585505,0.875,-0.0004717298381968804,0.0004330361393848136,False
oracle-label_minus_label-blind,1,0.0028057575757575613,0.0065081886252409404,-0.005275225933723365,0.010886741085238488,0.38963814831941623,0.5,-0.0031248677685907274,0.009863038248870085,False
oracle-label_minus_label-blind,3,0.0015714603914603665,0.0026136013192096475,-0.0016737542722601167,0.00481667505518085,0.24998045061717483,0.3125,-0.000934376453850764,0.004398002990230224,False
oracle-label_minus_label-blind,5,0.0006114926903162066,0.0008207683835890922,-0.00040762586245026626,0.0016306112430826795,0.17105747001010563,0.25,-0.00046139043556898447,0.0016842449576395903,False
oracle-label_minus_label-blind,10,0.00023088455793719432,0.0003387998707395672,-0.00018979104415621511,0.0006515601600306038,0.20222648957154285,0.25,-0.00021902529596002623,0.0007384590447876502,False
predicted-label_minus_label-blind,1,0.0010522222222222322,0.006050105967344717,-0.006459976542747461,0.008564420987191925,0.7171698981947268,0.75,-0.004949654367063991,0.007295751809009377,False
predicted-label_minus_label-blind,3,0.0009715113426878253,0.002108019218302444,-0.001645940228199961,0.0035889629135756112,0.3609952143378344,0.3125,-0.0011877890768011224,0.0030708023995597356,False
predicted-label_minus_label-blind,5,-0.0004662255174019969,0.0009548705557319723,-0.0016518539093992078,0.000719402874595214,0.3362802203758422,0.4375,-0.0014862201239867056,0.0005157554434120907,False
predicted-label_minus_label-blind,10,0.0002538639761797801,0.0003945647628688166,-0.00023605288483423474,0.0007437808371937949,0.2236328510373194,0.25,-0.00012319226526561505,0.0007663451152676792,False
