cap,horizon_hours,method,selection_objective,blend_mode,n_seeds,mean_curtailment_mae,delta_vs_cap_0.70_curtailment_mae,mean_onset_f1,delta_vs_cap_0.70_onset_f1,mean_onset_mae,delta_vs_cap_0.70_onset_mae
0.60,24,GRU-LSR,mae,selected,10,0.0438427457,0.0230741769,0.2108713853,-0.0121451665,0.1331124772,0.0227611109
0.70,24,GRU-LSR,mae,selected,10,0.0207685688,0.0000000000,0.2230165518,0.0000000000,0.1103513663,0.0000000000
0.80,24,GRU-LSR,mae,selected,10,0.0079053461,-0.0128632227,0.1921096084,-0.0309069434,0.0983368865,-0.0120144798
0.60,24,GRU-LSR,onset_f1,selected,10,0.0450134514,0.0223667025,0.2517383632,0.0330498001,0.1243806811,0.0143991352
0.70,24,GRU-LSR,onset_f1,selected,10,0.0226467489,0.0000000000,0.2186885631,0.0000000000,0.1099815459,0.0000000000
0.80,24,GRU-LSR,onset_f1,selected,10,0.0092918207,-0.0133549282,0.1335015835,-0.0851869796,0.1000693373,-0.0099122086
0.60,24,GRU-LSR-Fixed0,mae,fixed_0,10,0.0438427457,0.0230741769,0.2108713853,-0.0121451665,0.1331124772,0.0227611109
0.70,24,GRU-LSR-Fixed0,mae,fixed_0,10,0.0207685688,0.0000000000,0.2230165518,0.0000000000,0.1103513663,0.0000000000
0.80,24,GRU-LSR-Fixed0,mae,fixed_0,10,0.0079053461,-0.0128632227,0.1921096084,-0.0309069434,0.0983368865,-0.0120144798
0.60,24,GRU-LSR-Fixed0,onset_f1,fixed_0,10,0.0438405970,0.0230375640,0.2125085220,-0.0082597630,0.1331012437,0.0228323238
0.70,24,GRU-LSR-Fixed0,onset_f1,fixed_0,10,0.0208030330,0.0000000000,0.2207682850,0.0000000000,0.1102689199,0.0000000000
0.80,24,GRU-LSR-Fixed0,onset_f1,fixed_0,10,0.0079046692,-0.0128983638,0.1914928299,-0.0292754551,0.0982237891,-0.0120451308
0.60,24,GRU-LSR-Fixed0.5,mae,fixed_0.5,10,0.0445864987,0.0228435835,0.2423379312,0.0102685144,0.1272119729,0.0180906717
0.70,24,GRU-LSR-Fixed0.5,mae,fixed_0.5,10,0.0217429152,0.0000000000,0.2320694168,0.0000000000,0.1091213012,0.0000000000
0.80,24,GRU-LSR-Fixed0.5,mae,fixed_0.5,10,0.0086165283,-0.0131263869,0.1622720034,-0.0697974134,0.0989533143,-0.0101679869
0.60,24,GRU-LSR-Fixed0.5,onset_f1,fixed_0.5,10,0.0442126899,0.0226086156,0.2402413854,0.0199184290,0.1283034405,0.0187700537
0.70,24,GRU-LSR-Fixed0.5,onset_f1,fixed_0.5,10,0.0216040743,0.0000000000,0.2203229564,0.0000000000,0.1095333868,0.0000000000
0.80,24,GRU-LSR-Fixed0.5,onset_f1,fixed_0.5,10,0.0085705344,-0.0130335399,0.1708996753,-0.0494232811,0.0989951192,-0.0105382676
0.60,24,GRU-LSR-Fixed1,mae,fixed_1,10,0.0457349554,0.0227658327,0.2536821994,0.0352245176,0.1221984551,0.0129381523
0.70,24,GRU-LSR-Fixed1,mae,fixed_1,10,0.0229691227,0.0000000000,0.2184576818,0.0000000000,0.1092603028,0.0000000000
0.80,24,GRU-LSR-Fixed1,mae,fixed_1,10,0.0093726338,-0.0135964889,0.1359755438,-0.0824821380,0.0998392380,-0.0094210648
0.60,24,GRU-LSR-Fixed1,onset_f1,fixed_1,10,0.0450134514,0.0223667025,0.2517383632,0.0330498001,0.1243806811,0.0143991352
0.70,24,GRU-LSR-Fixed1,onset_f1,fixed_1,10,0.0226467489,0.0000000000,0.2186885631,0.0000000000,0.1099815459,0.0000000000
0.80,24,GRU-LSR-Fixed1,onset_f1,fixed_1,10,0.0092918207,-0.0133549282,0.1335015835,-0.0851869796,0.1000693373,-0.0099122086
0.60,24,Persistence,not_applicable,not_applicable,1,0.0430179825,0.0224714746,0.0000000000,0.0000000000,0.1581422551,0.0258589845
0.70,24,Persistence,not_applicable,not_applicable,1,0.0205465079,0.0000000000,0.0000000000,0.0000000000,0.1322832706,0.0000000000
0.80,24,Persistence,not_applicable,not_applicable,1,0.0080446881,-0.0125018198,0.0000000000,0.0000000000,0.1115366187,-0.0207466519
0.60,24,Ridge,mae,not_applicable,1,0.0443623375,0.0217455148,0.2314381271,-0.0008499101,0.1204141954,0.0132566490
0.70,24,Ridge,mae,not_applicable,1,0.0226168227,0.0000000000,0.2322880372,0.0000000000,0.1071575464,0.0000000000
0.80,24,Ridge,mae,not_applicable,1,0.0091109368,-0.0135058859,0.1739130435,-0.0583749937,0.0995432900,-0.0076142564
0.60,24,Ridge,onset_f1,not_applicable,1,0.0505687510,0.0250750409,0.2368112544,0.0189284178,0.1125761294,0.0066104314
0.70,24,Ridge,onset_f1,not_applicable,1,0.0254937101,0.0000000000,0.2178828366,0.0000000000,0.1059656980,0.0000000000
0.80,24,Ridge,onset_f1,not_applicable,1,0.0099278075,-0.0155659026,0.1718213058,-0.0460615308,0.0989466041,-0.0070190939
0.60,24,Seasonal-24h,not_applicable,not_applicable,1,0.0430179825,0.0224714746,0.0000000000,0.0000000000,0.1581422551,0.0258589845
0.70,24,Seasonal-24h,not_applicable,not_applicable,1,0.0205465079,0.0000000000,0.0000000000,0.0000000000,0.1322832706,0.0000000000
0.80,24,Seasonal-24h,not_applicable,not_applicable,1,0.0080446881,-0.0125018198,0.0000000000,0.0000000000,0.1115366187,-0.0207466519
