run_namespace,cap,horizon_hours,method,method_role,selection_objective,blend_mode,alpha_head,checkpoint_epoch,ridge_lambda,seed_index,seed,runtime_s,curtailment_mae,curtailment_rmse,event_f1,event_precision,event_recall,onset_f1,onset_precision,onset_recall,onset_mae,stress_subset_mae,detection_threshold,threshold_status,n_fit,n_selection,n_calibration,n_test,n_onsets_selection,n_onsets_calibration,n_onsets_test,n_events_test
p1_s3_fair_v1,0.70,1,DirectPolicyTransform-Privileged,privileged_control,not_applicable,not_applicable,NA,NA,NA,0,deterministic,0.000290,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.3333333333,0.2000000000,1.0000000000,0.0000000000,0.0000000000,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,Persistence,baseline,not_applicable,not_applicable,NA,NA,NA,0,deterministic,0.000174,0.0069079419,0.0239618849,0.7697368421,0.7697368421,0.7697368421,0.0000000000,0.0000000000,0.0000000000,0.0675322459,0.0245880407,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,Seasonal-24h,baseline,not_applicable,not_applicable,NA,NA,NA,0,deterministic,0.000158,0.0203666185,0.0593524296,0.3421052632,0.3421052632,0.3421052632,0.1065088757,0.0640569395,0.3157894737,0.0704356699,0.0551652764,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,Ridge,baseline,mae,not_applicable,NA,NA,0.1,0,deterministic,0.019865,0.0176835202,0.0354673121,0.3769633508,0.9230769231,0.2368421053,0.1245753114,0.0665859564,0.9649122807,0.0379286643,0.0502029686,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,Ridge,baseline,onset_f1,not_applicable,NA,NA,1e-06,0,deterministic,0.019209,0.0203672887,0.0511172398,0.4644549763,0.8305084746,0.3223684211,0.1116279070,0.0597758406,0.8421052632,0.0448051373,0.0587984631,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,15,NA,0,11,0.932679,0.0078629489,0.0256116264,0.6717557252,0.8000000000,0.5789473684,0.1581632653,0.0925373134,0.5438596491,0.0474450399,0.0279259546,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,15,NA,0,11,0.932679,0.0078629489,0.0256116264,0.6717557252,0.8000000000,0.5789473684,0.1581632653,0.0925373134,0.5438596491,0.0474450399,0.0279259546,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,15,NA,0,11,0.932679,0.0101847077,0.0259732495,0.6823529412,0.8446601942,0.5723684211,0.1704781705,0.0966981132,0.7192982456,0.0435100991,0.0316451168,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,15,NA,0,11,0.932679,0.0129444019,0.0282970612,0.6747967480,0.8829787234,0.5460526316,0.1581548600,0.0872727273,0.8421052632,0.0418722034,0.0369130962,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,0,11,0.953610,0.0150982377,0.0326290214,0.6585365854,0.8617021277,0.5328947368,0.1366622865,0.0738636364,0.9122807018,0.0425721133,0.0446764811,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,0,11,0.953610,0.0079658837,0.0259958780,0.6768060837,0.8018018018,0.5855263158,0.1636828645,0.0958083832,0.5614035088,0.0485728422,0.0283005780,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,0,11,0.953610,0.0112518110,0.0278072381,0.6745098039,0.8349514563,0.5657894737,0.1633393829,0.0910931174,0.7894736842,0.0430421177,0.0354899785,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,onset_f1,fixed_1,1.000000,5,NA,0,11,0.953610,0.0150982377,0.0326290214,0.6585365854,0.8617021277,0.5328947368,0.1366622865,0.0738636364,0.9122807018,0.0425721133,0.0446764811,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,mae,selected,0.000000,20,NA,1,23,0.629878,0.0080727290,0.0262429277,0.6692307692,0.8055555556,0.5723684211,0.1613691932,0.0937500000,0.5789473684,0.0507587046,0.0286313340,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,mae,fixed_0,0.000000,20,NA,1,23,0.629878,0.0080727290,0.0262429277,0.6692307692,0.8055555556,0.5723684211,0.1613691932,0.0937500000,0.5789473684,0.0507587046,0.0286313340,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,mae,fixed_0.5,0.500000,20,NA,1,23,0.629878,0.0106018440,0.0267669131,0.6718146718,0.8130841121,0.5723684211,0.1669758813,0.0933609959,0.7894736842,0.0441549243,0.0341813944,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed1,mechanism_control,mae,fixed_1,1.000000,20,NA,1,23,0.629878,0.0135697182,0.0298636508,0.6901960784,0.8543689320,0.5789473684,0.1568627451,0.0858085809,0.9122807018,0.0415140493,0.0412868496,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR,proposed,onset_f1,selected,1.000000,5,NA,1,23,0.650457,0.0161120383,0.0351990479,0.3874345550,0.9487179487,0.2434210526,0.1345646438,0.0727532097,0.8947368421,0.0430290345,0.0474718907,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0,mechanism_control,onset_f1,fixed_0,0.000000,5,NA,1,23,0.650457,0.0081425297,0.0265005335,0.6769230769,0.8148148148,0.5789473684,0.1617647059,0.0940170940,0.5789473684,0.0497158998,0.0287960956,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
p1_s3_fair_v1,0.70,1,GRU-LSR-Fixed0.5,mechanism_control,onset_f1,fixed_0.5,0.500000,5,NA,1,23,0.650457,0.0118165840,0.0289890948,0.6528925620,0.8777777778,0.5197368421,0.1705150977,0.0948616601,0.8421052632,0.0439276546,0.0370269598,0.0200000000,fallback_no_positive_onsets,4332,875,875,2627,0,0,57,152
