paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,runtime_s,source_status
p5,budget_sensitivity,TRACE-MOEA,proposed,0,0.16780208,39,0.94647476,25.23654023,2.14664024,0.29194937,12,983,1303,0.97727273,0.167648,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,1,0.16840923,36,0.96927111,22.17792623,23.53556644,0.27557445,12,816,1136,0.95555556,0.048245,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,2,0.15162298,40,0.90512768,19.44214911,39.41690517,0.27730858,11,1012,1332,0.96226415,0.051604,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,3,0.16943221,39,0.80836993,23.80510878,21.46303924,0.32223925,10,1034,1354,0.96078431,0.047842,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,4,0.16709002,38,0.88728625,24.67795089,18.60109708,0.30863568,11,1033,1353,0.96000000,0.047609,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,5,0.17025459,39,0.95983336,27.47816205,18.32280988,0.31297429,12,1193,1513,0.96363636,0.048271,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,6,0.16888424,38,0.89575292,24.44462273,23.60419393,0.31227204,11,948,1268,0.98148148,0.047839,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,7,0.16791762,38,0.88842328,22.65195931,18.58864213,0.29153576,11,959,1279,1.00000000,0.049662,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,8,0.16980881,40,0.79895384,23.70648625,14.97215924,0.32223925,10,1105,1425,1.00000000,0.050222,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,9,0.15960324,39,0.72927111,20.90627509,20.99204644,0.31796593,9,948,1268,0.97959184,0.050661,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,10,0.16769002,38,0.98394925,24.41954805,42.35181608,0.29659937,12,1123,1443,0.96153846,0.049136,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,11,0.16172241,39,0.99306468,20.13423673,44.41864301,0.26858286,12,939,1259,0.96226415,0.048642,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,12,0.16784157,38,0.97916991,26.89449802,33.46584888,0.31429096,12,1032,1352,1.00000000,0.049379,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,13,0.17083924,38,0.99109637,24.18621989,44.73835293,0.29993271,12,872,1192,0.94000000,0.052868,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,14,0.16152343,39,0.95099710,20.26277216,7.87156933,0.28303943,10,947,1267,1.00000000,0.049270,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,15,0.16970426,39,0.98958371,26.66116987,42.59198573,0.31762429,12,1085,1405,0.96428571,0.052226,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,16,0.16977317,39,0.95188945,27.36115434,2.34893520,0.30762429,12,1034,1354,1.00000000,0.049349,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,17,0.16717037,39,0.97755519,27.34345642,29.18574673,0.31630763,12,986,1306,0.96153846,0.048271,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,18,0.15275350,38,0.90335894,19.94368117,35.86458617,0.27587221,11,1021,1341,0.97916667,0.050066,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,19,0.15710771,38,0.80932445,19.75312562,18.64684933,0.28461943,10,1006,1326,1.00000000,0.052431,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,20,0.17049000,39,0.99534465,24.18621989,53.64091293,0.29993271,12,980,1300,1.00000000,0.048542,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,21,0.17050108,38,0.98840349,24.63517829,37.96673077,0.30194937,12,976,1296,1.00000000,0.048418,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,22,0.16995838,39,0.96284485,27.57678458,11.46232988,0.31297429,12,1021,1341,0.95918367,0.048220,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,23,0.16817889,38,0.92206649,23.86204180,14.82039924,0.31447204,11,1103,1423,1.00000000,0.048899,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,24,0.16945033,39,0.94362970,23.72733618,27.20901608,0.31810841,11,1025,1345,1.00000000,0.048386,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,25,0.16545224,39,0.95434922,26.40061431,3.16261520,0.33817196,11,980,1300,0.93617021,0.047826,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,26,0.16436487,39,0.90353088,21.52071436,39.62546328,0.29077213,11,947,1267,0.97826087,0.047063,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,27,0.16700979,36,0.90390557,24.06704180,2.38026240,0.31083568,11,1049,1369,1.00000000,0.049967,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,28,0.16878379,39,0.99152073,25.03850644,3.22856024,0.29931604,12,1052,1372,0.92982456,0.048855,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,TRACE-MOEA,proposed,29,0.16065948,39,0.89677733,19.94368117,22.39162617,0.27587221,11,1018,1338,0.98039216,0.049654,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,0,0.16367370,40,0.93863433,21.91995071,0.14898756,0.31527704,9,0,0,0.00000000,0.663170,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,1,0.16779082,40,0.97822051,24.41954805,30.26885608,0.29659937,12,0,0,0.00000000,0.082933,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,2,0.15791147,40,0.97110376,20.54831938,22.37770617,0.26524953,12,0,0,0.00000000,0.087090,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,3,0.16891633,40,0.98310142,25.31746484,38.43809177,0.30063271,12,0,0,0.00000000,0.085867,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,4,0.16569209,40,0.97567018,22.29493394,36.09208113,0.28092445,12,0,0,0.00000000,0.083962,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,5,0.16295499,40,0.97995846,21.61264738,33.52912013,0.28224112,12,0,0,0.00000000,0.082957,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,6,0.16829507,40,0.95463523,24.20708797,1.69214097,0.28030778,12,0,0,0.00000000,0.082413,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,7,0.16706400,40,0.95144449,22.65740307,7.29140213,0.30426934,10,0,0,0.00000000,0.084434,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,8,0.16994450,40,0.87372211,25.30766377,0.47035493,0.31083568,11,0,0,0.00000000,0.082299,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,9,0.16763364,40,0.97818830,26.89449802,31.44064888,0.31429096,12,0,0,0.00000000,0.086033,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,10,0.16833290,40,0.96163570,22.52826209,19.96298428,0.27759112,12,0,0,0.00000000,0.083522,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,11,0.15490428,40,0.98859112,20.13423673,35.32680301,0.26858286,12,0,0,0.00000000,0.086330,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,12,0.16814539,40,0.98962051,24.15789173,45.82955293,0.29993271,12,0,0,0.00000000,0.081959,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,13,0.16773795,40,0.95326234,25.78412115,1.93653808,0.29396604,12,0,0,0.00000000,0.083222,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,14,0.15354967,40,0.95310469,20.38143750,3.02959148,0.25989953,12,0,0,0.00000000,0.083125,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,15,0.15665499,40,0.97481181,20.26894236,32.59786617,0.26524953,12,0,0,0.00000000,0.083056,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,16,0.16963434,40,0.79326234,24.93635373,0.35061808,0.32307925,10,0,0,0.00000000,0.084227,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,17,0.16680638,40,0.99898558,23.47627711,2.56573997,0.28899112,12,0,0,0.00000000,0.081195,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,18,0.16804790,40,0.91019522,23.76233618,41.99043293,0.31370841,11,0,0,0.00000000,0.081348,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,19,0.15275370,40,0.93931158,19.94653280,1.21127576,0.28993271,9,0,0,0.00000000,0.086627,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,20,0.16557613,40,0.94994140,27.78178458,1.23331304,0.30964096,12,0,0,0.00000000,0.085229,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,21,0.16434858,40,0.93817455,21.97252438,0.58869072,0.31083260,9,0,0,0.00000000,0.085869,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,22,0.16741427,40,0.89744257,24.44462273,27.09019393,0.31227204,11,0,0,0.00000000,0.082272,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,23,0.16805481,40,0.95734465,24.55425367,13.00119924,0.29326604,12,0,0,0.00000000,0.081832,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,24,0.16682582,40,0.97277361,24.76988391,31.41979393,0.29861604,12,0,0,0.00000000,0.085191,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,25,0.13450333,40,0.95146103,16.75144465,38.89761553,0.26240866,11,0,0,0.00000000,0.084988,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,26,0.16273213,40,0.96204260,21.89967275,4.77636744,0.30177213,11,0,0,0.00000000,0.084830,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,27,0.16641713,40,0.95531983,22.87859796,18.91960213,0.27960778,12,0,0,0.00000000,0.083833,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,28,0.16295295,40,0.94124719,21.70134460,30.70264113,0.30100849,11,0,0,0.00000000,0.084607,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,NSGA-II,baseline,29,0.16817714,40,0.98485317,23.22186129,0.34666528,0.29942934,10,0,0,0.00000000,0.086586,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,0,0.02524531,3,0.07344828,0.32526118,0.44520000,0.14840000,1,0,0,0.00000000,0.344900,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,1,0.02145355,2,0.09271494,0.19055556,14.49533684,0.18840000,1,0,0,0.00000000,0.322584,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,2,0.02150123,2,0.09425977,0.19055556,17.68253684,0.18840000,1,0,0,0.00000000,0.315913,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,3,0.02154203,3,0.09557931,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.312646,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,4,0.02154196,2,0.09557931,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.309727,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,5,0.02289814,3,0.18829425,0.38111111,34.90027368,0.18840000,2,0,0,0.00000000,0.316933,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,6,0.02150132,3,0.09425977,0.19055556,17.68253684,0.18840000,1,0,0,0.00000000,0.317881,public_rts_simbench_nerc_project_review_v2_real_algorithms
p5,budget_sensitivity,MOEA/D,baseline,7,0.02154205,3,0.09557931,0.19055556,20.40493684,0.18840000,1,0,0,0.00000000,0.314374,public_rts_simbench_nerc_project_review_v2_real_algorithms
