experiment,budget_multiplier,method,seed,hypervolume,preference_achievement_distance,feasible_front_size,trace_event_count,runtime_s,source_status
preference_aware_support,0.75,R-NSGA-II,0,0.10124653,0.56632161,40,0,0.267030,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,1,0.11037428,0.53882093,40,0,0.211648,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,2,0.10213494,0.55626031,40,0,0.211944,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,3,0.09396037,0.57096169,40,0,0.210497,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,4,0.10155593,0.56409382,40,0,0.211737,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,5,0.13446660,0.53329961,40,0,0.214340,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,6,0.10592073,0.55046425,40,0,0.211353,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,7,0.10379241,0.55636394,40,0,0.210417,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,8,0.11486536,0.53682597,40,0,0.215436,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,9,0.09029863,0.57800069,40,0,0.210992,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,10,0.12601449,0.53286376,40,0,0.211184,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,11,0.12445742,0.53162641,40,0,0.211089,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,12,0.13193414,0.53218332,40,0,0.210086,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,13,0.10093265,0.55794019,40,0,0.210236,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,14,0.09115534,0.58493230,40,0,0.209165,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,15,0.08224498,0.60435646,40,0,0.212220,public_p5_preference_budget_v1_rnsga2
preference_aware_support,0.75,R-NSGA-II,16,0.11417994,0.53658326,40,0,0.210192,public_p5_preference_budget_v1_rnsga2
