paper,experiment_id,method,method_role,seed,hypervolume,feasible_front_size,compromise_cost_index,compromise_reliability,compromise_renewable,compromise_risk,portfolio_size,local_move_count,trace_event_count,decision_coverage,preference_achievement_distance,runtime_s,source_status
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,26,0.17770914,39,0.97688776,30.73303216,45.89089853,0.28858691,16,858,1178,0.98113208,0.52619999,0.126670,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,27,0.17274941,39,0.97422674,28.17945642,20.60000988,0.33894096,12,772,1092,0.98305085,0.52888844,0.125721,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,28,0.17419582,39,0.95500431,30.58840122,53.56855637,0.30543937,15,811,1131,0.98148148,0.52706130,0.126805,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,29,0.17285486,39,0.96541880,29.90611466,56.14119537,0.30649271,15,920,1240,1.00000000,0.52574335,0.129421,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,0,0.17366445,40,0.87037055,24.70203663,66.19080977,0.28114232,14,0,0,0.00000000,0.53109141,0.216463,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,1,0.17118008,40,0.96101676,26.66135449,20.40294861,0.28061375,14,0,0,0.00000000,0.52824428,0.159756,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,2,0.17103912,40,0.96336296,26.12531129,33.09801505,0.28519942,13,0,0,0.00000000,0.52983108,0.159628,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,3,0.17628350,40,0.97096158,27.46195809,22.36550961,0.26408703,16,0,0,0.00000000,0.52787709,0.160134,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,4,0.17285764,40,0.99216988,24.10217134,0.74976968,0.28129940,11,0,0,0.00000000,0.53071743,0.162748,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,5,0.17345937,40,0.91728812,29.44341238,0.91401088,0.29723781,13,0,0,0.00000000,0.52791964,0.160623,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,6,0.17193295,40,0.98276364,27.29754216,56.19062573,0.29556610,15,0,0,0.00000000,0.52585214,0.158898,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,7,0.17790378,40,0.98052088,29.24109720,37.14511825,0.28084322,16,0,0,0.00000000,0.52677398,0.160669,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,8,0.17075607,40,0.99866535,30.76832654,30.29300168,0.29161191,16,0,0,0.00000000,0.53320179,0.162095,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,9,0.17230705,40,0.95047781,23.51388716,48.45123581,0.26459289,15,0,0,0.00000000,0.52702284,0.159318,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,10,0.17212823,40,0.89481641,25.93475573,21.21923820,0.29326604,12,0,0,0.00000000,0.52844100,0.159190,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,11,0.17117656,40,0.97094501,29.45962151,29.22092457,0.27584322,16,0,0,0.00000000,0.53036264,0.161585,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,12,0.17255703,40,0.96035573,25.25040859,13.06939781,0.27137642,13,0,0,0.00000000,0.53059977,0.159516,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,13,0.17592534,40,0.89551606,26.99314906,3.51441377,0.28925660,14,0,0,0.00000000,0.53246843,0.160734,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,14,0.17146080,40,0.93079160,23.54263004,0.90610528,0.31622667,11,0,0,0.00000000,0.53442448,0.163391,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,15,0.17464040,40,0.98034130,24.10191184,45.35931049,0.27003524,14,0,0,0.00000000,0.52958766,0.160225,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,16,0.17262238,40,0.97230433,28.98641760,27.89396357,0.27683072,16,0,0,0.00000000,0.52789955,0.162175,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,17,0.17347825,40,0.95338641,26.29245966,42.58321177,0.27607950,15,0,0,0.00000000,0.52900757,0.159596,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,18,0.17380633,40,0.98338157,27.64926017,47.72914429,0.26809953,16,0,0,0.00000000,0.53176280,0.158434,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,19,0.17531544,40,0.93797779,26.50180609,31.93089177,0.28706096,13,0,0,0.00000000,0.52804126,0.159785,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,20,0.15887564,40,0.97952300,20.51747582,13.54117221,0.23399252,14,0,0,0.00000000,0.53068995,0.159954,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,21,0.17477610,40,0.98602468,27.14870461,5.00625377,0.28575950,15,0,0,0.00000000,0.53149691,0.159007,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,22,0.16879019,40,0.95266780,25.23056466,11.84257893,0.27137642,13,0,0,0.00000000,0.53424893,0.159609,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,23,0.17432239,40,0.89493298,24.35012649,3.12706528,0.26643795,13,0,0,0.00000000,0.53115926,0.158716,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,24,0.17495821,40,0.95081744,26.80759784,9.82937605,0.28398404,13,0,0,0.00000000,0.52710577,0.161769,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,25,0.17488520,40,0.78919398,27.66871760,32.22054673,0.30339166,13,0,0,0.00000000,0.52994264,0.159499,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,26,0.17348160,40,0.78286984,28.00066829,14.51400988,0.30031473,13,0,0,0.00000000,0.52887534,0.159783,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,27,0.17456861,40,0.93194501,28.59740964,57.04111825,0.28967277,15,0,0,0.00000000,0.52652895,0.157387,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,28,0.15391852,40,0.97139680,18.90901791,3.07920192,0.26338953,10,0,0,0.00000000,0.53019554,0.159332,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,NSGA-II,baseline,29,0.17411500,40,0.90438641,26.85678023,2.10453808,0.28276865,13,0,0,0.00000000,0.52790406,0.158340,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,0,0.12599496,40,0.95377338,15.30704505,88.12525009,0.22262642,15,0,0,0.00000000,0.52946449,0.211986,public_rts_simbench_nerc_project_review_v3_direct_family_controls
p5,benchmark_portfolio_optimization,R-NSGA-II,baseline,1,0.13374362,40,0.99755889,16.53731349,74.89381109,0.21699976,16,0,0,0.00000000,0.53015862,0.211388,public_rts_simbench_nerc_project_review_v3_direct_family_controls
