paper,experiment_id,method,method_role,repeat,hypervolume_proxy,budget_feasibility_rate,feasibility_rate,constraint_violation_rate,investment_cost_index,reliability_benefit_proxy,renewable_benefit_proxy,load_support_proxy,compliance_score,evidence_score,schedule_risk,implementation_risk,ranking_stability,trace_completeness,move_trace_completeness,dependency_balance,portfolio_size,local_move_count,runtime_s,source_status
p5,benchmark_portfolio_optimization,Weighted Sum,baseline,4,1.68159775,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78240000,0.75800000,0.65280000,1.00000000,10,0,0.00013850,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,1,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014610,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,2,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00015320,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,3,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00015910,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Greedy BCR,baseline,4,1.64713795,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.76460000,0.71840000,0.62400000,1.00000000,10,0,0.00014650,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,1,2.93840388,1.00000000,1.00000000,0.00000000,0.34340791,4.54167062,14.26814748,19.62153000,0.71600000,0.87200000,0.22800000,0.21223765,0.69400000,0.64184000,0.56000000,1.00000000,5,0,0.00005290,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,2,1.99640229,1.00000000,1.00000000,0.00000000,0.42895998,5.56360371,25.01522217,11.74407000,0.72000000,0.88800000,0.22000000,0.20423765,0.69400000,0.64536000,0.56000000,1.00000000,5,0,0.00005320,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,3,1.71844778,1.00000000,1.00000000,0.00000000,0.61284997,8.31476002,20.41442356,6.20816000,0.74400000,0.89600000,0.26400000,0.19847529,0.69400000,0.64712000,0.56000000,1.00000000,5,0,0.00005130,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Random Feasible,baseline,4,1.66199821,1.00000000,1.00000000,0.00000000,0.33000963,4.77499878,3.57049064,18.65453000,0.73600000,0.88400000,0.22000000,0.20423765,0.69400000,0.64448000,0.56000000,1.00000000,5,0,0.00004150,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,1,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00072210,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,2,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00074150,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,3,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00073280,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoFeasibilityRepair,ablation,4,1.53681873,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.75760000,0.92520000,1.00000000,1.00000000,5,5,0.00064610,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,1,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00072800,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,2,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00064630,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,3,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00063770,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoPreferenceRanking,ablation,4,1.47255916,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.70280000,0.85118400,1.00000000,1.00000000,5,5,0.00063540,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,1,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063910,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,2,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063700,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,3,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00066820,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoReliabilityFeatures,ablation,4,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063690,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,1,1.34791897,0.96000000,0.96000000,0.04000000,0.48425000,0.77777778,12.95168000,72.27500000,0.66000000,0.84000000,0.22000000,0.26000000,0.84960000,0.92960000,1.00000000,1.00000000,5,3,0.00049200,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,2,1.20736903,0.96000000,0.96000000,0.04000000,0.29309483,0.46666667,8.21184000,45.82500000,0.66000000,0.84000000,0.22000000,0.26000000,0.84960000,0.92960000,1.00000000,1.00000000,3,5,0.00060660,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,3,1.20736903,0.96000000,0.96000000,0.04000000,0.29309483,0.46666667,8.21184000,45.82500000,0.66000000,0.84000000,0.22000000,0.26000000,0.84960000,0.92960000,1.00000000,1.00000000,3,5,0.00049940,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoRenewableFeatures,ablation,4,1.85623218,0.98800000,0.98800000,0.01200000,0.44867241,1.04610594,11.60824000,64.54900000,0.68800000,0.84800000,0.20400000,0.24000000,0.83064000,0.93136000,1.00000000,0.80000000,5,8,0.00073440,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,1,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063630,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,2,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00064710,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,3,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063550,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NoScheduleRisk,ablation,4,1.57674551,1.00000000,1.00000000,0.00000000,0.35644310,0.95277778,96.57988421,28.91000000,0.70000000,0.82000000,0.18000000,0.20000000,0.85680000,0.92520000,1.00000000,1.00000000,5,5,0.00063890,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,1,1.73127457,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00014070,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,2,1.73127457,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00018050,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,3,1.73127457,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00015310,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SingleObjective,ablation,4,1.73127457,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.78920000,0.82840000,0.70400000,1.00000000,10,0,0.00014530,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NSGA2Only,ablation,1,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013490,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NSGA2Only,ablation,2,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00014430,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NSGA2Only,ablation,3,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00013610,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-NSGA2Only,ablation,4,1.68212623,1.00000000,1.00000000,0.00000000,0.70452241,1.90555556,170.15216842,50.89000000,0.70000000,0.82000000,0.18000000,0.20000000,0.79600000,0.74920000,0.64640000,1.00000000,10,0,0.00012960,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SmallProjectPool,ablation,1,1.56904368,1.00000000,1.00000000,0.00000000,0.35214655,0.95277778,84.76068421,25.35000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84700000,0.91640000,1.00000000,1.00000000,5,5,0.00033310,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SmallProjectPool,ablation,2,1.56904368,1.00000000,1.00000000,0.00000000,0.35214655,0.95277778,84.76068421,25.35000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84700000,0.91640000,1.00000000,1.00000000,5,5,0.00030250,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SmallProjectPool,ablation,3,1.56904368,1.00000000,1.00000000,0.00000000,0.35214655,0.95277778,84.76068421,25.35000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84700000,0.91640000,1.00000000,1.00000000,5,5,0.00030200,public_rts_simbench_nerc_project_review_v1
p5,benchmark_portfolio_optimization,Ablation-SmallProjectPool,ablation,4,1.56904368,1.00000000,1.00000000,0.00000000,0.35214655,0.95277778,84.76068421,25.35000000,0.70000000,0.82000000,0.18000000,0.20000000,0.84700000,0.91640000,1.00000000,1.00000000,5,5,0.00030660,public_rts_simbench_nerc_project_review_v1
p5,distribution_project_review,TRACE-MOEA,proposed,1,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00082090,public_rts_simbench_nerc_project_review_v1
p5,distribution_project_review,TRACE-MOEA,proposed,2,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00081160,public_rts_simbench_nerc_project_review_v1
p5,distribution_project_review,TRACE-MOEA,proposed,3,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00098190,public_rts_simbench_nerc_project_review_v1
p5,distribution_project_review,TRACE-MOEA,proposed,4,1.75961476,1.00000000,1.00000000,0.00000000,0.56621034,1.52444444,143.25309474,42.86000000,0.70000000,0.82000000,0.18000000,0.20000000,0.89220000,0.94720000,1.00000000,1.00000000,8,10,0.00101930,public_rts_simbench_nerc_project_review_v1
